"Hugo_Symbol","Low","High","pval","or","ci.up","ci.low","adjPval"
"ZDBF2",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZFPM1",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"ZFPM2",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZMYND15",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF197",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF219",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF30",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"ZNF398",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"ZNF420",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF451",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF513",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"ZNF526",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF648",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF746",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"ZNF804B",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZNF835",1,3,0.590062111801242,0.287330860429739,4.3103362675427,0.00477655607411065,1
"ZSCAN25",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"ZSWIM5",3,1,0.590062111801242,3.48029568344888,209.355859008981,0.232000460736697,1
"A2ML1",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"ABCA4",2,4,0.64040536122916,0.415640933340675,3.80461014678895,0.0301414459598018,1
"ABCC1",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
"ACACB",4,2,0.64040536122916,2.40592280448076,33.1769086769644,0.262839019352348,1
