"Hugo_Symbol","Low","High","pval","or","ci.up","ci.low","adjPval"
"CENPC",2,3,1,0.659455764230075,5.93187177034428,0.0536371736339224,1
"CENPH",0,1,1,0,39.0005499686929,0,1
"CENPI",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CENPJ",3,4,1,0.741189504014806,4.54946259163195,0.104876231275792,1
"CENPK",1,0,1,Inf,Inf,0.0256406640625,1
"CENPN",0,1,1,0,39.0005499686929,0,1
"CENPO",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CENPP",0,1,1,0,39.0005499686929,0,1
"CENPT",1,0,1,Inf,Inf,0.0256406640625,1
"CENPU",0,1,1,0,39.0005499686929,0,1
"CEP126",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CEP128",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CEP135",2,2,1,1,14.12916169813,0.0707756073123824,1
"CEP152",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CEP295NL",0,1,1,0,39.0005499686929,0,1
"CEP350",3,3,1,1,7.71563650257461,0.129606935172012,1
"CEP41",0,1,1,0,39.0005499686929,0,1
"CEP43",0,1,1,0,39.0005499686929,0,1
"CEP55",0,1,1,0,39.0005499686929,0,1
"CEP57L1",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CEP70",0,1,1,0,39.0005499686929,0,1
"CEP72",0,1,1,0,39.0005499686929,0,1
"CEP78",2,3,1,0.659455764230075,5.93187177034428,0.0536371736339224,1
"CEP83",0,1,1,0,39.0005499686929,0,1
"CEP89",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CEPT1",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CERCAM",1,0,1,Inf,Inf,0.0256406640625,1
"CERK",0,1,1,0,39.0005499686929,0,1
"CERKL",2,2,1,1,14.12916169813,0.0707756073123824,1
"CERS4",1,0,1,Inf,Inf,0.0256406640625,1
"CES1",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CES5A",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CETN3",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CETP",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CFAP126",0,1,1,0,39.0005499686929,0,1
"CFAP157",0,1,1,0,39.0005499686929,0,1
"CFAP161",1,0,1,Inf,Inf,0.0256406640625,1
"CFAP20",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CFAP206",0,1,1,0,39.0005499686929,0,1
"CFAP20DC",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CFAP221",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CFAP298-TCP10L",0,1,1,0,39.0005499686929,0,1
"CFAP300",0,1,1,0,39.0005499686929,0,1
"CFAP36",0,1,1,0,39.0005499686929,0,1
"CFAP410",0,1,1,0,39.0005499686929,0,1
"CFAP43",3,3,1,1,7.71563650257461,0.129606935172012,1
"CFAP45",2,2,1,1,14.12916169813,0.0707756073123824,1
"CFAP46",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CFAP52",1,0,1,Inf,Inf,0.0256406640625,1
"CFAP58",2,1,1,2.01795163634849,121.070511439397,0.102991769498789,1
"CFAP61",2,3,1,0.659455764230075,5.93187177034428,0.0536371736339224,1
"CFAP91",1,2,1,0.495552015215545,9.70951372975253,0.00825964958858343,1
"CFAP92",0,1,1,0,39.0005499686929,0,1
"CFAP94",1,0,1,Inf,Inf,0.0256406640625,1
"CFC1",0,1,1,0,39.0005499686929,0,1
"CFHR1",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CFHR3",0,1,1,0,39.0005499686929,0,1
"CFHR4",0,1,1,0,39.0005499686929,0,1
"CFHR5",0,1,1,0,39.0005499686929,0,1
"CFI",0,1,1,0,39.0005499686929,0,1
"CFL1",0,1,1,0,39.0005499686929,0,1
"CFLAR",1,0,1,Inf,Inf,0.0256406640625,1
"CFP",1,0,1,Inf,Inf,0.0256406640625,1
"CFTR",2,2,1,1,14.12916169813,0.0707756073123824,1
"CGA",1,0,1,Inf,Inf,0.0256406640625,1
"CGB1",0,1,1,0,39.0005499686929,0,1
"CGB5",1,1,1,1,79.4830787767348,0.0125812942250132,1
"CGN",1,0,1,Inf,Inf,0.0256406640625,1
"CGNL1",2,2,1,1,14.12916169813,0.0707756073123824,1
"CGREF1",0,1,1,0,39.0005499686929,0,1
"CH25H",0,1,1,0,39.0005499686929,0,1
"CHAC1",0,1,1,0,39.0005499686929,0,1
"CHAD",1,0,1,Inf,Inf,0.0256406640625,1
"CHADL",0,1,1,0,39.0005499686929,0,1
"CHAF1A",0,1,1,0,39.0005499686929,0,1
"CHCHD1",1,0,1,Inf,Inf,0.0256406640625,1
"CHCHD4",0,1,1,0,39.0005499686929,0,1
"CHCHD5",0,1,1,0,39.0005499686929,0,1
"CHEK1",0,1,1,0,39.0005499686929,0,1
"CHERP",2,1,1,2.01795163634849,121.070511439397,0.102991769498789,1
"CHFR",1,0,1,Inf,Inf,0.0256406640625,1
"CHGA",2,1,1,2.01795163634849,121.070511439397,0.102991769498789,1
