"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","chromosome_name","abslogfold"
"ENSG00000003402",2752.30378680245,0.241237313145521,0.819815905973726,0.294257907644515,0.768560834301366,0.99998225410374,"CFLAR","2",0.241237313145521
"ENSG00000003436",839.470937671376,2.35951030360777,1.03525836090996,2.27915116911863,0.022658080672989,0.489283603879407,"TFPI","2",2.35951030360777
"ENSG00000003509",475.979909064071,0.0717797792055385,0.935333707704993,0.0767424274504796,0.938828451817741,0.99998225410374,"NDUFAF7","2",0.0717797792055385
"ENSG00000003756",1956.97816072177,0.139857505517251,0.836738878405311,0.167145938986123,0.867255220323936,0.99998225410374,"RBM5","3",0.139857505517251
"ENSG00000003987",27.4363871364652,-0.0782578056532039,1.68957465585128,-0.0463180513404269,0.963056751860431,0.99998225410374,"MTMR7","8",0.0782578056532039
"ENSG00000003989",259.590407511705,1.6956859580113,1.22708460308015,1.38188186352831,0.167007977556073,0.99998225410374,"SLC7A2","8",1.6956859580113
"ENSG00000004059",4085.21628796814,0.284078277830735,0.845355219566739,0.336046044615813,0.736836144811066,0.99998225410374,"ARF5","7",0.284078277830735
"ENSG00000004139",199.776027112255,-0.79607617650682,1.07619919626312,-0.7397108075076,0.459475488910874,0.99998225410374,"SARM1","17",0.79607617650682
"ENSG00000004142",5889.82977209831,-0.333855370126222,0.830730799222371,-0.401881536640675,0.687771211437525,0.99998225410374,"POLDIP2","17",0.333855370126222
"ENSG00000004399",3255.96536619398,0.262804475443441,1.02370170413127,0.256719779192377,0.797395101561022,0.99998225410374,"PLXND1","3",0.262804475443441
"ENSG00000004455",6319.92530628844,-0.0627342735698819,0.913514804820734,-0.0686735160052417,0.945249499587738,0.99998225410374,"AK2","1",0.0627342735698819
"ENSG00000004468",206.243539634407,-2.45394928409183,1.29820746519376,-1.89025972341453,0.0587232326293759,0.7916812907187,"CD38","4",2.45394928409183
"ENSG00000004478",8027.80957092632,-0.620946713558211,0.844172304461174,-0.735568686957286,0.461993224671724,0.99998225410374,"FKBP4","12",0.620946713558211
"ENSG00000004487",4887.96472821405,-0.592457856808961,0.860259646705792,-0.6886965569961,0.491014243317495,0.99998225410374,"KDM1A","1",0.592457856808961
"ENSG00000004534",2082.12558925932,-0.696273261000896,0.828225570109137,-0.840680710822713,0.400526829515121,0.99998225410374,"RBM6","3",0.696273261000896
"ENSG00000004660",698.708286908131,-2.9105550013828,0.940219264059,-3.09561302628251,0.00196406502102205,0.106164508321849,"CAMKK1","17",2.9105550013828
"ENSG00000004700",600.216045992312,-0.623767532402891,0.89379521896882,-0.697886405257949,0.485248236936142,0.99998225410374,"RECQL","12",0.623767532402891
"ENSG00000004766",838.950036443142,-0.11971405692644,1.02269531860285,-0.117057401895597,0.906814565956726,0.99998225410374,"VPS50","7",0.11971405692644
"ENSG00000004777",281.750985989755,0.074313114780535,0.959223319920268,0.0774721727852822,0.93824792762598,0.99998225410374,"ARHGAP33","19",0.074313114780535
"ENSG00000004779",3228.17515046758,0.371331071920531,1.04574437815594,0.355087801261082,0.722523815140875,0.99998225410374,"NDUFAB1","16",0.371331071920531
"ENSG00000004799",598.701410638678,0.434247737765107,1.71628094966828,0.253016697440496,0.800255310227685,0.99998225410374,"PDK4","7",0.434247737765107
"ENSG00000004838",21.2178773812009,0.455499609448476,1.87516273878946,0.242912041726325,0.808073536971602,0.99998225410374,"ZMYND10","3",0.455499609448476
"ENSG00000004848",66.046923593652,5.9037744942564,2.41418962472985,2.44544771205245,0.0144672424800754,0.377929226428595,"ARX","X",5.9037744942564
"ENSG00000004864",1183.44364981195,-0.494783340723769,0.844092366222796,-0.586172035813876,0.557759911726276,0.99998225410374,"SLC25A13","7",0.494783340723769
"ENSG00000004866",923.485746157083,0.640604967391397,0.900843017357691,0.711117203606005,0.477011610084676,0.99998225410374,"ST7","7",0.640604967391397
"ENSG00000004897",2153.2019897166,-0.249437129508987,0.859953163401525,-0.290058970795972,0.771771123610626,0.99998225410374,"CDC27","17",0.249437129508987
"ENSG00000004961",1410.50122157614,-0.434613585143163,1.06831915059789,-0.406819989045342,0.684140204397397,0.99998225410374,"HCCS","X",0.434613585143163
"ENSG00000004975",1377.25619988252,0.0367886046506257,0.84988679138809,0.0432864765324099,0.965473171282572,0.99998225410374,"DVL2","17",0.0367886046506257
"ENSG00000005001",1473.77460558153,3.34134138120106,1.13410897647453,2.94622602458177,0.00321677248269226,0.149638231705832,"PRSS22","16",3.34134138120106
"ENSG00000005007",6305.37860453373,0.0484015046457997,0.844382903875495,0.0573217487275613,0.954288895855632,0.99998225410374,"UPF1","19",0.0484015046457997
"ENSG00000005020",1540.14668183278,1.76814762755573,0.99561198370181,1.77594048334125,0.0757427274153844,0.870281912796151,"SKAP2","7",1.76814762755573
"ENSG00000005022",24265.9942846111,-0.0857503334902376,0.949315110503725,-0.0903286301265518,0.928026069590615,0.99998225410374,"SLC25A5","X",0.0857503334902376
"ENSG00000005059",1008.23589675157,0.0661319351422577,1.00866272471491,0.0655639724972977,0.947724973151906,0.99998225410374,"MCUB","4",0.0661319351422577
"ENSG00000005073",540.202672104881,1.34295429216831,0.948378965534736,1.41605238092885,0.156760168721125,0.99998225410374,"HOXA11","7",1.34295429216831
"ENSG00000005075",1381.29887291211,0.667045605831019,0.862833962242692,0.773086868413504,0.439470972061397,0.99998225410374,"POLR2J","7",0.667045605831019
"ENSG00000005100",1304.61302267983,-0.243714026455283,0.980733695527755,-0.248501736574,0.803746226619945,0.99998225410374,"DHX33","17",0.243714026455283
"ENSG00000005102",64.1428365059475,-0.358809352324188,1.63498215175285,-0.219457657038954,0.826293560657358,0.99998225410374,"MEOX1","17",0.358809352324188
"ENSG00000005108",53.6419876020916,0.398377808516929,1.50468436108449,0.264758389746141,0.791195593434877,0.99998225410374,"THSD7A","7",0.398377808516929
"ENSG00000005156",1160.88646387818,-1.41001271523403,0.841388555431377,-1.67581637060789,0.0937741665255485,0.956040420170613,"LIG3","17",1.41001271523403
"ENSG00000005175",1162.36249526091,-0.185687765457216,0.914910235644298,-0.202957359337499,0.839168360841983,0.99998225410374,"RPAP3","12",0.185687765457216
"ENSG00000005187",513.186140517414,-1.38252317205352,1.49379441263705,-0.925511007644554,0.3547001605544,0.99998225410374,"ACSM3","16",1.38252317205352
"ENSG00000005189",232.278328608616,-0.383473891481804,1.01785030253397,-0.376748811222175,0.706360284973936,0.99998225410374,"REXO5","16",0.383473891481804
"ENSG00000005194",2582.84389196244,0.0212589823763474,0.85810264784667,0.0247744048217248,0.980234906784292,0.99998225410374,"CIAPIN1","16",0.0212589823763474
"ENSG00000005206",2564.10600752321,0.482937217428144,0.964361445371755,0.500784451458421,0.616522829500547,0.99998225410374,"SPPL2B","19",0.482937217428144
"ENSG00000005238",882.768794908131,0.345383771400981,1.05632915280495,0.326966050765387,0.74369356273626,0.99998225410374,"ATOSB","9",0.345383771400981
"ENSG00000005243",207.292774298268,0.178194767707344,1.19625689278165,0.148960285021211,0.881584971218619,0.99998225410374,"COPZ2","17",0.178194767707344
"ENSG00000005249",363.365773905261,-0.959877217732502,1.23640885092775,-0.776342887720553,0.437546556576543,0.99998225410374,"PRKAR2B","7",0.959877217732502
"ENSG00000005302",1257.12485723319,0.431401066551797,0.892577177971934,0.483320744915306,0.628868012573632,0.99998225410374,"MSL3","X",0.431401066551797
"ENSG00000005339",3201.64753978481,0.182726180930941,0.868504251998414,0.210391809263444,0.833361884857997,0.99998225410374,"CREBBP","16",0.182726180930941
"ENSG00000005379",605.450951541492,-1.49028017075237,1.00051696214972,-1.48951015038301,0.136353082463609,0.99998225410374,"TSPOAP1","17",1.49028017075237
"ENSG00000005436",529.276659221377,-0.973039768938304,0.955618876901721,-1.01822995804882,0.308568685573695,0.99998225410374,"GCFC2","2",0.973039768938304
"ENSG00000005448",579.212083722853,-2.2156820303253,0.924197495814022,-2.39741185229436,0.0165113531940562,0.409905632945013,"WDR54","2",2.2156820303253
"ENSG00000005469",369.863324294974,-0.487307639030653,1.05652093750939,-0.461238032991013,0.644627837675638,0.99998225410374,"CROT","7",0.487307639030653
"ENSG00000005471",29.9744137573396,-1.69510029512962,1.93585654864333,-0.875633215858668,0.381229462079933,0.99998225410374,"ABCB4","7",1.69510029512962
"ENSG00000005483",2224.73897250082,-0.0872103638582024,0.95389747304869,-0.0914253012742292,0.92715465842474,0.99998225410374,"KMT2E","7",0.0872103638582024
"ENSG00000005486",3064.54184507672,0.957050998253746,0.870230643875543,1.09976706174302,0.271433627108531,0.99998225410374,"RHBDD2","7",0.957050998253746
"ENSG00000005513",230.516129697946,-1.08207857981995,1.84098932604635,-0.5877701540746,0.556686579655579,0.99998225410374,"SOX8","16",1.08207857981995
"ENSG00000005700",2988.13609770071,-0.204015374340635,0.895361769808529,-0.227858035958206,0.819756607019825,0.99998225410374,"IBTK","6",0.204015374340635
"ENSG00000005801",1024.93512172094,-0.337571994134401,0.933244529183245,-0.361718695988325,0.717562254419777,0.99998225410374,"ZNF195","11",0.337571994134401
"ENSG00000005810",1724.41707182027,-0.600093850439031,0.979197604706605,-0.612842441152454,0.539980525064794,0.99998225410374,"MYCBP2","13",0.600093850439031
"ENSG00000005812",1209.87005243487,0.766797800274884,0.857311122107093,0.894421850483234,0.371096225840864,0.99998225410374,"FBXL3","13",0.766797800274884
"ENSG00000005844",613.504423724432,-1.88807825694765,1.04006019724567,-1.81535478614386,0.0694694046536094,0.848089202124213,"ITGAL","16",1.88807825694765
"ENSG00000005882",879.714180042415,-0.298763815362574,0.955199411283664,-0.312776381385197,0.754450560636919,0.99998225410374,"PDK2","17",0.298763815362574
"ENSG00000005884",6256.39719697322,0.441736003742515,1.09180653156327,0.404591831036243,0.68577756420482,0.99998225410374,"ITGA3","17",0.441736003742515
"ENSG00000005889",1019.55013849958,-0.0168853859049163,0.854134408104399,-0.0197690032677532,0.984227644858416,0.99998225410374,"ZFX","X",0.0168853859049163
"ENSG00000005893",4884.76511561724,-0.0674603161956867,0.836182576889762,-0.0806765389044697,0.935699195226304,0.99998225410374,"LAMP2","X",0.0674603161956867
"ENSG00000005961",26.088590563706,0.219909867044381,1.89628321951609,0.115968893665841,0.907677194680858,0.99998225410374,"ITGA2B","17",0.219909867044381
"ENSG00000006007",3851.2842377825,-0.320413993252695,0.815433676567505,-0.392936914994055,0.694366075753497,0.99998225410374,"GDE1","16",0.320413993252695
"ENSG00000006015",1527.33948202721,1.33364434871912,0.899565820936579,1.48254226392306,0.138196066639154,0.99998225410374,"REX1BD","19",1.33364434871912
"ENSG00000006016",30.0303489167525,0.679206614745524,1.81958586708078,0.373275384818852,0.708943494740889,0.99998225410374,"CRLF1","19",0.679206614745524
"ENSG00000006025",1091.1755295166,-0.833039257299917,0.973074347090831,-0.856090040591891,0.391947977069137,0.99998225410374,"OSBPL7","17",0.833039257299917
"ENSG00000006042",2776.9152429599,-1.77933339450529,0.938281851554567,-1.89637409223811,0.0579105952015341,0.788272186018444,"TMEM98","17",1.77933339450529
"ENSG00000006047",672.087176422944,0.181897822585704,1.22775362501505,0.148154987189286,0.882220454715674,0.99998225410374,"YBX2","17",0.181897822585704
"ENSG00000006062",633.540646655478,-0.364157569959704,0.915557716918315,-0.39774397968642,0.690818915172419,0.99998225410374,"MAP3K14","17",0.364157569959704
"ENSG00000006071",22.3273261155481,-7.75513394534937,2.48226778620435,-3.12421326516418,0.00178281187960147,0.099166238026788,"ABCC8","11",7.75513394534937
"ENSG00000006118",1995.86258021543,-1.17381114597456,0.954681699880739,-1.22953141986611,0.218872625015569,0.99998225410374,"TMEM132A","11",1.17381114597456
"ENSG00000006125",13553.8632395602,-0.44275361039093,0.823425464595491,-0.537697253033622,0.590786076010882,0.99998225410374,"AP2B1","17",0.44275361039093
"ENSG00000006194",1304.4709106861,0.865729336409082,0.841640552431854,1.02862122542411,0.303657699910843,0.99998225410374,"ZNF263","16",0.865729336409082
"ENSG00000006210",1504.96235158332,-1.5495844048559,1.26227945409883,-1.2276080386353,0.219594142715432,0.99998225410374,"CX3CL1","16",1.5495844048559
"ENSG00000006282",2510.9339380563,0.441952608998343,0.847337541236492,0.521577986918196,0.601964193410095,0.99998225410374,"SPATA20","17",0.441952608998343
"ENSG00000006327",2419.64005951106,2.56320580385537,1.13291303041373,2.26249123723055,0.0236670696295638,0.500385313484098,"TNFRSF12A","16",2.56320580385537
"ENSG00000006432",683.612674844007,-0.352626896372043,1.10437384176279,-0.319300297632171,0.749498807009219,0.99998225410374,"MAP3K9","14",0.352626896372043
"ENSG00000006451",3481.00822318264,0.271046464625222,0.824470701913608,0.328752087849962,0.742343080162874,0.99998225410374,"RALA","7",0.271046464625222
"ENSG00000006453",3465.01348272029,1.2915825258376,0.835875413584219,1.54518544850998,0.122301413072542,0.99998225410374,"BAIAP2L1","7",1.2915825258376
"ENSG00000006459",2109.42446762902,-0.0592909750686645,1.00430490675837,-0.0590368270329778,0.952922775522124,0.99998225410374,"KDM7A","7",0.0592909750686645
"ENSG00000006468",398.977827868837,2.06622762664423,1.08839311624672,1.89842033710167,0.0576407326868682,0.787336600361954,"ETV1","7",2.06622762664423
"ENSG00000006530",869.22122948051,1.41450031337573,0.936269364915071,1.51078350566777,0.130843618486232,0.99998225410374,"AGK","7",1.41450031337573
"ENSG00000006534",1387.4905664432,-0.621617554268741,1.31408787521708,-0.47304108499293,0.636183867754203,0.99998225410374,"ALDH3B1","11",0.621617554268741
"ENSG00000006555",1194.0370285062,1.021630414614,0.948963596343761,1.07657492716287,0.281670210503881,0.99998225410374,"TTC22","1",1.021630414614
"ENSG00000006576",710.452996012038,1.30705592353187,0.899245173184598,1.45350340764471,0.146084034249225,0.99998225410374,"PHTF2","7",1.30705592353187
"ENSG00000006606",62.1266976222401,-0.231294980446477,1.47812844508551,-0.156478268999888,0.875656047062807,0.99998225410374,"CCL26","7",0.231294980446477
"ENSG00000006607",2591.42412047729,-0.642209886287863,0.836757005922406,-0.767498666569176,0.442785085691067,0.99998225410374,"FARP2","2",0.642209886287863
"ENSG00000006611",5796.20314889946,-2.65336011915131,1.39247148565624,-1.90550409576312,0.0567145755506388,0.780517885620441,"USH1C","11",2.65336011915131
"ENSG00000006625",1081.52769539974,0.59274087224577,0.874327787121325,0.677938961767801,0.497810395080086,0.99998225410374,"GGCT","7",0.59274087224577
"ENSG00000006634",853.724666904328,0.00990941424773495,0.901586730032179,0.0109910826298223,0.991230561427238,0.99998225410374,"DBF4","7",0.00990941424773495
"ENSG00000006638",68.0733538043355,1.58852262474639,1.30776567561075,1.21468444567068,0.224486467204499,0.99998225410374,"TBXA2R","19",1.58852262474639
"ENSG00000006652",330.027094920005,1.10885149308412,1.02323128078342,1.08367630457423,0.278508345352137,0.99998225410374,"IFRD1","7",1.10885149308412
"ENSG00000006695",1168.51050627402,-0.388054554181624,0.880484899682488,-0.440728233183283,0.659409754583787,0.99998225410374,"COX10","17",0.388054554181624
"ENSG00000006704",1825.60983852674,0.059573284506406,0.848969058064888,0.0701713259635108,0.94405729661717,0.99998225410374,"GTF2IRD1","7",0.059573284506406
"ENSG00000006712",2574.94824852208,-0.162772120219046,0.854434239559722,-0.190502806047332,0.848915144543288,0.99998225410374,"PAF1","19",0.162772120219046
"ENSG00000006715",1683.73177153923,0.0750139676508567,0.950607444994361,0.0789116138800088,0.937102925509976,0.99998225410374,"VPS41","7",0.0750139676508567
"ENSG00000006740",465.331389014864,-4.54456068743429,0.922255776618622,-4.92765760068922,8.32212901453574e-07,0.000234506681362057,"ARHGAP44","17",4.54456068743429
"ENSG00000006744",3987.63693326217,-0.34906026047938,0.8382018302769,-0.416439391887355,0.677088508560216,0.99998225410374,"ELAC2","17",0.34906026047938
"ENSG00000006747",540.718953790781,0.142474715197331,1.32056825155298,0.10788894480068,0.91408378670257,0.99998225410374,"SCIN","7",0.142474715197331
"ENSG00000006756",2246.60347649458,-1.27098103207142,0.900120255553151,-1.41201247747765,0.157946287284968,0.99998225410374,"ARSD","X",1.27098103207142
"ENSG00000006757",653.961019804664,-0.881125635501048,1.17658921770764,-0.748881276693791,0.453928766284195,0.99998225410374,"PNPLA4","X",0.881125635501048
"ENSG00000006831",4119.55757914398,-0.116013271897167,0.814195421826171,-0.142488239048261,0.886694368466894,0.99998225410374,"ADIPOR2","12",0.116013271897167
