"Pesticide1","Pesticide2","SES_Variable","SES_P_value","Significant"
"XATRAZINE","XTEBUPIRIMPHOS","Working_class",0.618109388142997,FALSE
"XDIAZINON","XACETOCHLOR","Education.index",0.0828383627967952,FALSE
"XDIAZINON","XACETOCHLOR","Income",0.754862943350627,FALSE
"XDIAZINON","XACETOCHLOR","home_value",0.674928804550361,FALSE
"XDIAZINON","XACETOCHLOR","rent",0.36781859504844,FALSE
"XDIAZINON","XACETOCHLOR","Poverty_150",0.69983039575871,FALSE
"XDIAZINON","XACETOCHLOR","Unemployed",0.125087349075338,FALSE
"XDIAZINON","XACETOCHLOR","Working_class",0.982596924306674,FALSE
"XDIAZINON","XATRAZINE","Education.index",0.00925066708400233,TRUE
"XDIAZINON","XATRAZINE","Income",0.301567680102902,FALSE
"XDIAZINON","XATRAZINE","home_value",0.334727695648219,FALSE
"XDIAZINON","XATRAZINE","rent",0.105328545502666,FALSE
"XDIAZINON","XATRAZINE","Poverty_150",0.323227442433632,FALSE
"XDIAZINON","XATRAZINE","Unemployed",0.196806051853136,FALSE
"XDIAZINON","XATRAZINE","Working_class",0.862268707223527,FALSE
"XDIAZINON","XESFENVALERATE","Education.index",0.00489806302834226,TRUE
"XDIAZINON","XESFENVALERATE","Income",0.118832729359199,FALSE
"XDIAZINON","XESFENVALERATE","home_value",0.0693589447110578,FALSE
"XDIAZINON","XESFENVALERATE","rent",0.0152179623159086,TRUE
"XDIAZINON","XESFENVALERATE","Poverty_150",0.686757146655586,FALSE
"XDIAZINON","XESFENVALERATE","Unemployed",0.875373955749908,FALSE
"XDIAZINON","XESFENVALERATE","Working_class",0.431640253814665,FALSE
"XDIAZINON","XFENBUCONAZOLE","Education.index",0.0398945243435904,TRUE
"XDIAZINON","XFENBUCONAZOLE","Income",0.124982236558181,FALSE
"XDIAZINON","XFENBUCONAZOLE","home_value",0.325767109163365,FALSE
"XDIAZINON","XFENBUCONAZOLE","rent",0.344570351411706,FALSE
"XDIAZINON","XFENBUCONAZOLE","Poverty_150",0.0202471781017411,TRUE
"XDIAZINON","XFENBUCONAZOLE","Unemployed",0.564254624509003,FALSE
"XDIAZINON","XFENBUCONAZOLE","Working_class",0.131238402501716,FALSE
"XDIAZINON","XFLUMIOXAZIN","Education.index",0.195157862979383,FALSE
"XDIAZINON","XFLUMIOXAZIN","Income",0.411760629779193,FALSE
"XDIAZINON","XFLUMIOXAZIN","home_value",0.461153646989025,FALSE
"XDIAZINON","XFLUMIOXAZIN","rent",0.367062999002416,FALSE
"XDIAZINON","XFLUMIOXAZIN","Poverty_150",0.38967090432943,FALSE
"XDIAZINON","XFLUMIOXAZIN","Unemployed",0.157763977942676,FALSE
"XDIAZINON","XFLUMIOXAZIN","Working_class",0.501108077710127,FALSE
"XDIAZINON","XGLYPHOSATE","Education.index",0.0054772997736245,TRUE
"XDIAZINON","XGLYPHOSATE","Income",0.301136290569382,FALSE
"XDIAZINON","XGLYPHOSATE","home_value",0.395682712362154,FALSE
"XDIAZINON","XGLYPHOSATE","rent",0.180373144970816,FALSE
"XDIAZINON","XGLYPHOSATE","Poverty_150",0.310278542687514,FALSE
"XDIAZINON","XGLYPHOSATE","Unemployed",0.123270845115192,FALSE
"XDIAZINON","XGLYPHOSATE","Working_class",0.960997473975673,FALSE
"XDIAZINON","XIMIDACLOPRID","Education.index",0.0085863689580699,TRUE
"XDIAZINON","XIMIDACLOPRID","Income",0.191977163162521,FALSE
"XDIAZINON","XIMIDACLOPRID","home_value",0.0846489516357145,FALSE
"XDIAZINON","XIMIDACLOPRID","rent",0.0258281561468446,TRUE
"XDIAZINON","XIMIDACLOPRID","Poverty_150",0.695682599648868,FALSE
"XDIAZINON","XIMIDACLOPRID","Unemployed",0.965466883857723,FALSE
"XDIAZINON","XIMIDACLOPRID","Working_class",0.262462036888483,FALSE
"XDIAZINON","XNICOSULFURON","Education.index",0.0118018122059643,TRUE
"XDIAZINON","XNICOSULFURON","Income",0.414322683338258,FALSE
"XDIAZINON","XNICOSULFURON","home_value",0.301403749573317,FALSE
"XDIAZINON","XNICOSULFURON","rent",0.106209242042315,FALSE
"XDIAZINON","XNICOSULFURON","Poverty_150",0.287603372507877,FALSE
"XDIAZINON","XNICOSULFURON","Unemployed",0.188997305318741,FALSE
"XDIAZINON","XNICOSULFURON","Working_class",0.903106581724354,FALSE
"XDIAZINON","XPICLORAM","Education.index",0.00428753776511201,TRUE
"XDIAZINON","XPICLORAM","Income",0.156065421789953,FALSE
"XDIAZINON","XPICLORAM","home_value",0.08027349305035,FALSE
"XDIAZINON","XPICLORAM","rent",0.00867801548186679,TRUE
"XDIAZINON","XPICLORAM","Poverty_150",0.976967315026135,FALSE
"XDIAZINON","XPICLORAM","Unemployed",0.975823958912916,FALSE
"XDIAZINON","XPICLORAM","Working_class",0.366530194582973,FALSE
"XDIAZINON","XPROPARGITE","Education.index",0.00215013491881977,TRUE
"XDIAZINON","XPROPARGITE","Income",0.169407841891912,FALSE
"XDIAZINON","XPROPARGITE","home_value",0.286364858619497,FALSE
"XDIAZINON","XPROPARGITE","rent",0.091707933017675,FALSE
"XDIAZINON","XPROPARGITE","Poverty_150",0.137206402576036,FALSE
"XDIAZINON","XPROPARGITE","Unemployed",0.0716812419060844,FALSE
"XDIAZINON","XPROPARGITE","Working_class",0.992293535262098,FALSE
"XDIAZINON","XSIMAZINE","Education.index",0.00654675199133924,TRUE
"XDIAZINON","XSIMAZINE","Income",0.19049107990964,FALSE
"XDIAZINON","XSIMAZINE","home_value",0.196622290870965,FALSE
"XDIAZINON","XSIMAZINE","rent",0.05107339211721,FALSE
"XDIAZINON","XSIMAZINE","Poverty_150",0.229651351897212,FALSE
"XDIAZINON","XSIMAZINE","Unemployed",0.383814698374459,FALSE
"XDIAZINON","XSIMAZINE","Working_class",0.657085770643595,FALSE
"XDIAZINON","XTEBUPIRIMPHOS","Education.index",0.0330234075680913,TRUE
"XDIAZINON","XTEBUPIRIMPHOS","Income",0.204600946601913,FALSE
"XDIAZINON","XTEBUPIRIMPHOS","home_value",0.227098217068645,FALSE
"XDIAZINON","XTEBUPIRIMPHOS","rent",0.0713551769573719,FALSE
"XDIAZINON","XTEBUPIRIMPHOS","Poverty_150",0.20393997694863,FALSE
"XDIAZINON","XTEBUPIRIMPHOS","Unemployed",0.0971095492648793,FALSE
"XDIAZINON","XTEBUPIRIMPHOS","Working_class",0.818459123894929,FALSE
"XESFENVALERATE","XACETOCHLOR","Education.index",0.0777525931889896,FALSE
"XESFENVALERATE","XACETOCHLOR","Income",0.793724899441953,FALSE
"XESFENVALERATE","XACETOCHLOR","home_value",0.645835774262048,FALSE
"XESFENVALERATE","XACETOCHLOR","rent",0.187563620172303,FALSE
"XESFENVALERATE","XACETOCHLOR","Poverty_150",0.920199629402641,FALSE
"XESFENVALERATE","XACETOCHLOR","Unemployed",0.218430387251266,FALSE
"XESFENVALERATE","XACETOCHLOR","Working_class",0.422956821397893,FALSE
"XESFENVALERATE","XATRAZINE","Education.index",0.00412271908940213,TRUE
"XESFENVALERATE","XATRAZINE","Income",0.248165692235549,FALSE
"XESFENVALERATE","XATRAZINE","home_value",0.201228755746719,FALSE
"XESFENVALERATE","XATRAZINE","rent",0.0396226323322987,TRUE
"XESFENVALERATE","XATRAZINE","Poverty_150",0.419905160239242,FALSE
"XESFENVALERATE","XATRAZINE","Unemployed",0.215875483568397,FALSE
"XESFENVALERATE","XATRAZINE","Working_class",0.361518810901363,FALSE
"XESFENVALERATE","XDIAZINON","Education.index",0.00308335508319823,TRUE
"XESFENVALERATE","XDIAZINON","Income",0.135392046114183,FALSE
"XESFENVALERATE","XDIAZINON","home_value",0.0526935297145148,FALSE
"XESFENVALERATE","XDIAZINON","rent",0.00893873920652391,TRUE
"XESFENVALERATE","XDIAZINON","Poverty_150",0.691329137993592,FALSE
"XESFENVALERATE","XDIAZINON","Unemployed",0.919712656536722,FALSE
"XESFENVALERATE","XDIAZINON","Working_class",0.265084195769191,FALSE
"XESFENVALERATE","XFENBUCONAZOLE","Education.index",0.0140911417984806,TRUE
"XESFENVALERATE","XFENBUCONAZOLE","Income",0.0512498692700584,FALSE
"XESFENVALERATE","XFENBUCONAZOLE","home_value",0.10681274031094,FALSE
"XESFENVALERATE","XFENBUCONAZOLE","rent",0.231123210844409,FALSE
"XESFENVALERATE","XFENBUCONAZOLE","Poverty_150",0.00366919979939493,TRUE
"XESFENVALERATE","XFENBUCONAZOLE","Unemployed",0.136972680786418,FALSE
"XESFENVALERATE","XFENBUCONAZOLE","Working_class",0.10098482682544,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","Education.index",0.0908604779823683,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","Income",0.395714037090227,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","home_value",0.642176731001384,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","rent",0.268158709972816,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","Poverty_150",0.30979608651553,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","Unemployed",0.0872362100842366,FALSE
"XESFENVALERATE","XFLUMIOXAZIN","Working_class",0.358868107968446,FALSE
"XESFENVALERATE","XGLYPHOSATE","Education.index",0.00360057302065994,TRUE
"XESFENVALERATE","XGLYPHOSATE","Income",0.354204721199797,FALSE
"XESFENVALERATE","XGLYPHOSATE","home_value",0.485597605350469,FALSE
"XESFENVALERATE","XGLYPHOSATE","rent",0.144007625366935,FALSE
"XESFENVALERATE","XGLYPHOSATE","Poverty_150",0.404381658057199,FALSE
"XESFENVALERATE","XGLYPHOSATE","Unemployed",0.112058776632511,FALSE
"XESFENVALERATE","XGLYPHOSATE","Working_class",0.571161381483718,FALSE
"XESFENVALERATE","XIMIDACLOPRID","Education.index",0.00484767183255482,TRUE
"XESFENVALERATE","XIMIDACLOPRID","Income",0.111478751916127,FALSE
"XESFENVALERATE","XIMIDACLOPRID","home_value",0.157628751289078,FALSE
"XESFENVALERATE","XIMIDACLOPRID","rent",0.0263838120890944,TRUE
"XESFENVALERATE","XIMIDACLOPRID","Poverty_150",0.31776665952925,FALSE
"XESFENVALERATE","XIMIDACLOPRID","Unemployed",0.457040156136515,FALSE
"XESFENVALERATE","XIMIDACLOPRID","Working_class",0.227374715932789,FALSE
"XESFENVALERATE","XNICOSULFURON","Education.index",0.0170789310059329,TRUE
"XESFENVALERATE","XNICOSULFURON","Income",0.614494780062393,FALSE
"XESFENVALERATE","XNICOSULFURON","home_value",0.415074969202571,FALSE
"XESFENVALERATE","XNICOSULFURON","rent",0.105633975173344,FALSE
"XESFENVALERATE","XNICOSULFURON","Poverty_150",0.535883431721521,FALSE
"XESFENVALERATE","XNICOSULFURON","Unemployed",0.175533060247277,FALSE
"XESFENVALERATE","XNICOSULFURON","Working_class",0.679617291432232,FALSE
"XESFENVALERATE","XPICLORAM","Education.index",0.00354831636611741,TRUE
"XESFENVALERATE","XPICLORAM","Income",0.0871423589399334,FALSE
"XESFENVALERATE","XPICLORAM","home_value",0.0718784559619866,FALSE
"XESFENVALERATE","XPICLORAM","rent",0.00658011272271616,TRUE
"XESFENVALERATE","XPICLORAM","Poverty_150",0.609011508146885,FALSE
"XESFENVALERATE","XPICLORAM","Unemployed",0.543626880691076,FALSE
"XESFENVALERATE","XPICLORAM","Working_class",0.15157011904206,FALSE
"XESFENVALERATE","XPROPARGITE","Education.index",0.0890668902813954,FALSE
"XESFENVALERATE","XPROPARGITE","Income",0.646414413153493,FALSE
"XESFENVALERATE","XPROPARGITE","home_value",0.848982815123977,FALSE
"XESFENVALERATE","XPROPARGITE","rent",0.502589427996092,FALSE
"XESFENVALERATE","XPROPARGITE","Poverty_150",0.472932426373944,FALSE
"XESFENVALERATE","XPROPARGITE","Unemployed",0.162959901812162,FALSE
"XESFENVALERATE","XPROPARGITE","Working_class",0.982656631003043,FALSE
"XESFENVALERATE","XSIMAZINE","Education.index",0.00843362802304772,TRUE
"XESFENVALERATE","XSIMAZINE","Income",0.505327370347547,FALSE
"XESFENVALERATE","XSIMAZINE","home_value",0.465107372041823,FALSE
"XESFENVALERATE","XSIMAZINE","rent",0.134585730068996,FALSE
"XESFENVALERATE","XSIMAZINE","Poverty_150",0.63097945345693,FALSE
"XESFENVALERATE","XSIMAZINE","Unemployed",0.404267973177078,FALSE
"XESFENVALERATE","XSIMAZINE","Working_class",0.41292330749665,FALSE
"XESFENVALERATE","XTEBUPIRIMPHOS","Education.index",0.0173672975871727,TRUE
"XESFENVALERATE","XTEBUPIRIMPHOS","Income",0.0523691509683035,FALSE
"XESFENVALERATE","XTEBUPIRIMPHOS","home_value",0.149012048285295,FALSE
"XESFENVALERATE","XTEBUPIRIMPHOS","rent",0.00424851770217437,TRUE
"XESFENVALERATE","XTEBUPIRIMPHOS","Poverty_150",0.25438539085733,FALSE
"XESFENVALERATE","XTEBUPIRIMPHOS","Unemployed",0.0984190949297634,FALSE
"XESFENVALERATE","XTEBUPIRIMPHOS","Working_class",0.389978263457879,FALSE
"XFENBUCONAZOLE","XACETOCHLOR","Education.index",0.0310450980129284,TRUE
"XFENBUCONAZOLE","XACETOCHLOR","Income",0.0408916124532113,TRUE
"XFENBUCONAZOLE","XACETOCHLOR","home_value",0.0544992276148119,FALSE
"XFENBUCONAZOLE","XACETOCHLOR","rent",0.194041915516953,FALSE
"XFENBUCONAZOLE","XACETOCHLOR","Poverty_150",0.00131328628863133,TRUE
"XFENBUCONAZOLE","XACETOCHLOR","Unemployed",0.703330211160462,FALSE
"XFENBUCONAZOLE","XACETOCHLOR","Working_class",0.567601112573687,FALSE
"XFENBUCONAZOLE","XATRAZINE","Education.index",0.0112951578752777,TRUE
"XFENBUCONAZOLE","XATRAZINE","Income",0.101212564455805,FALSE
"XFENBUCONAZOLE","XATRAZINE","home_value",0.136995944196416,FALSE
"XFENBUCONAZOLE","XATRAZINE","rent",0.301967293031368,FALSE
"XFENBUCONAZOLE","XATRAZINE","Poverty_150",0.000939098802812537,TRUE
"XFENBUCONAZOLE","XATRAZINE","Unemployed",0.61362422903686,FALSE
"XFENBUCONAZOLE","XATRAZINE","Working_class",0.259501596959963,FALSE
"XFENBUCONAZOLE","XDIAZINON","Education.index",0.02433928911294,TRUE
"XFENBUCONAZOLE","XDIAZINON","Income",0.223761694178212,FALSE
"XFENBUCONAZOLE","XDIAZINON","home_value",0.438341354122715,FALSE
"XFENBUCONAZOLE","XDIAZINON","rent",0.354364395633575,FALSE
"XFENBUCONAZOLE","XDIAZINON","Poverty_150",0.0291761194469755,TRUE
"XFENBUCONAZOLE","XDIAZINON","Unemployed",0.892679548672165,FALSE
"XFENBUCONAZOLE","XDIAZINON","Working_class",0.273539954201221,FALSE
"XFENBUCONAZOLE","XESFENVALERATE","Education.index",0.010325081483634,TRUE
"XFENBUCONAZOLE","XESFENVALERATE","Income",0.12024710706162,FALSE
