"Pesticide1","Pesticide2","SES_Adjusted","Effect","P_value","Significant","Included_SES","N_obs","N_years","N_SC","Filter_Description"
"XACETOCHLOR","XIMIDACLOPRID","NULL",0.34167015335712,0.00100930229092033,TRUE,"None",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","NULL+Pesti2",0.355794830141866,0.00194373421326631,TRUE,"None",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","Education.index",0.352486823852748,0.00177773062300967,TRUE,"Education.index",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","Income",0.354028827691208,0.0021420935185778,TRUE,"Income",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","home_value",0.350377366595339,0.00403782986942058,TRUE,"home_value",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","rent",0.311848367645518,0.0112149928977873,TRUE,"rent",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","Poverty_150",0.38021119805557,0.0027156582372354,TRUE,"Poverty_150",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","Unemployed",0.477316476581537,0.000554628026579683,TRUE,"Unemployed",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XIMIDACLOPRID","Working_class",0.358037986981992,0.00297362650773525,TRUE,"Working_class",1138,18,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","NULL",0.369303603113007,0.00081364086037503,TRUE,"None",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","NULL+Pesti2",0.0485131416937626,0.842863228460013,FALSE,"None",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","Education.index",0.0651096501707593,0.789754310221055,FALSE,"Education.index",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","Income",0.04684983262044,0.848394125507476,FALSE,"Income",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","home_value",0.0515882126868371,0.834729129166104,FALSE,"home_value",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","rent",0.0229121906707463,0.926064907455631,FALSE,"rent",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","Poverty_150",0.0527967446425205,0.831280675076299,FALSE,"Poverty_150",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","Unemployed",0.120827469646872,0.630196098775448,FALSE,"Unemployed",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XNICOSULFURON","Working_class",0.0366572054444776,0.882072655584757,FALSE,"Working_class",1350,19,87,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","NULL",0.389749519684321,0.000182936838047319,TRUE,"None",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","NULL+Pesti2",0.375428724774737,0.000401958847914886,TRUE,"None",1301,19,79,"SC≥10|Top5%"
"XACETOCHLOR","XPICLORAM","Education.index",0.375487661778357,0.000295405217636055,TRUE,"Education.index",1301,19,79,"SC≥10|Top5%"
